"Player","Pos_C","Pos_F","Pos_PF","Pos_PG","Pos_SF","Pos_SF-PF","Pos_SG","Age","Tm_ATL","Tm_BOS","Tm_BRK","Tm_CHI","Tm_CHO","Tm_CLE","Tm_DAL","Tm_DEN","Tm_DET","Tm_GSW","Tm_HOU","Tm_IND","Tm_LAC","Tm_LAL","Tm_MEM","Tm_MIA","Tm_MIL","Tm_MIN","Tm_NOP","Tm_NYK","Tm_OKC","Tm_ORL","Tm_PHI","Tm_PHO","Tm_POR","Tm_SAC","Tm_SAS","Tm_TOR","Tm_TOT","Tm_UTA","Tm_WAS","G","GS","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","weight","salary"
"Steven Adams",1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,27,28.1,3.5,5.8,0,0,3.5,5.7,0.603,1.1,2.3,4.3,4.6,8.9,2.1,1,0.6,1.7,1.9,8,15.9,0.592,0.006,0.397,16.9,18,17.5,10.1,1.7,2,20.1,12.8,1.2,0.5,1.7,0.109,-0.1,-1,-1.1,0.2,115.7,25842697
"Bam Adebayo",1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,33.6,7.4,12.9,0.1,0.2,7.3,12.7,0.576,5.1,6,1.9,7.3,9.2,5.3,1,1,3,2.6,19.9,22.7,0.641,0.015,0.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,0.196,2.9,2,4.9,1.5,110.2,3454080
"LaMarcus Aldridge",1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,18,26.7,5.9,12.5,1.3,3.7,4.6,8.8,0.529,0.9,1.2,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1,15.2,0.542,0.298,0.093,3.2,14,8.4,11.4,0.7,2.8,6.4,22.3,0.2,0.5,0.7,0.075,0.3,-1,-0.7,0.2,111.6,2.6e+07
"Nickeil Alexander-Walker",0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,3,19.2,3.3,8.2,1,3.8,2.3,4.4,0.473,1.1,1.4,0.2,2.4,2.7,2,1.1,0.3,1.3,1.7,8.8,12,0.502,0.463,0.17,1.3,14.1,7.7,14.9,2.8,1.9,12.9,22.4,-0.2,0.4,0.2,0.025,-2.6,0.1,-2.5,-0.1,93,2964840
"Grayson Allen",0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,23.9,3.2,7.4,2.3,5.3,0.8,2.1,0.586,1.7,1.9,0.4,2.5,2.9,2.1,1,0.2,1.1,1.3,10.4,14,0.63,0.721,0.264,1.7,12,6.7,11.5,2,0.6,11.3,16.5,0.7,0.4,1.1,0.113,0.4,0.1,0.5,0.3,93,2429400
"Jarrett Allen",1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,10,26.2,4.4,6.8,0,0.1,4.3,6.6,0.645,3.6,4.7,2.9,6.1,9,1.6,0.5,1.6,1.5,1.6,12.3,22.5,0.695,0.021,0.695,12.6,25.5,19.1,9,0.9,5.5,14.8,17.1,2.3,0.8,3.1,0.203,2.3,0.4,2.7,0.9,106.1,2376840
"Al-Farouq Aminu",0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,8,0.5,0.5,0.5,0.5,0,0,1.5,0,1,0.5,1.5,2,1,0,0,1,0,1.5,7.5,0.798,1,2,6.2,20.3,13,16.7,0,0,51.5,10.3,0,0,0,-0.034,-3.4,0.1,-3.3,0,97.5,9258000
"Kyle Anderson",0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,28.1,5,10.7,1.7,4.3,3.3,6.4,0.545,2.1,2.7,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8,17.8,0.579,0.401,0.249,3.5,21.5,12.2,19.4,1.9,2.5,10.7,20.1,1.1,0.8,1.9,0.134,1.9,1.1,2.9,0.8,104.3,9073050
"Giannis Antetokounmpo",0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,33.6,10.3,18.4,1.1,4,9.2,14.4,0.594,6.4,9.9,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2,28.3,0.62,0.216,0.54,5.6,29.8,18,27.5,1.8,3.5,13.9,33,2.7,1.5,4.3,0.226,5.2,2,7.2,2.1,109.8,25842697
"Kostas Antetokounmpo",0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,2,0,0,0,2,0,0,0,0,4,4,0,0,2,2,1,0,-9.1,0,0,0,0,54.1,28,0,0,21.3,50,21.7,-0.1,0,-0.1,-0.407,-19.3,2,-17.3,0,90.7,79568
"Thanasis Antetokounmpo",0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8.3,0.9,1.4,0.1,0.4,0.8,1.1,0.692,0.2,0.4,0.7,1,1.7,0.8,0.3,0.2,0.8,1.4,2.2,10.3,0.688,0.269,0.269,9.5,12.5,11,12.2,1.6,1.8,34,12.4,0.1,0.2,0.2,0.079,-3.3,0.1,-3.2,0,97.5,1445697
"OG Anunoby",0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,18,34.4,5.1,10.3,2.4,5.7,2.6,4.7,0.608,2,2.7,1.6,4.3,5.9,1.6,2,0.6,1.7,2.9,14.6,14.7,0.632,0.548,0.258,5,14.2,9.5,6.5,2.8,1.6,13,16.4,0.8,0.7,1.5,0.118,0.3,0.9,1.1,0.5,105.2,2281800
"Ryan Arcidiacono",0,0,0,1,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9.7,0.8,2.2,0.5,1.5,0.3,0.7,0.5,0.4,0.5,0.1,1.9,2,1.5,0.3,0,0.2,0.9,2.5,11.2,0.534,0.667,0.208,1.1,21.4,11.4,20.1,1.3,0,7.1,11.2,0.2,0.1,0.3,0.119,-2.5,0.9,-1.6,0,88.5,3e+06
"Deandre Ayton",1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,27,32.1,6.1,10.3,0.1,0.6,5.9,9.7,0.597,1.6,2.3,3.7,8.6,12.2,1.8,0.3,1,2.1,3.4,13.9,17.7,0.617,0.058,0.219,13,28.9,21.1,8.4,0.5,2.8,15.8,18.8,1.4,1.3,2.7,0.148,-0.5,-0.3,-0.8,0.2,113.4,9562920
"Dwayne Bacon",0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,20,24.9,4.1,9.6,1.1,2.9,3,6.8,0.478,1.5,1.9,0.4,2.7,3.1,1,0.8,0.1,0.7,1.7,10.7,10.7,0.513,0.297,0.197,1.7,11.8,6.5,6.4,1.5,0.4,6.2,19.1,0.1,0.6,0.7,0.046,-2.9,-0.9,-3.8,-0.3,99.8,1618520
"Lonzo Ball",0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,25,30.9,5.2,12.2,2.9,7.6,2.3,4.6,0.543,0.8,1.1,0.6,3.7,4.3,4.7,1.2,0.5,2,2.5,14,14.2,0.554,0.622,0.089,2.3,13.2,7.8,21.5,2,1.6,13.9,20.2,0.8,0.5,1.2,0.077,0.3,-0.4,-0.2,0.4,86.2,8719320
"Mo Bamba",1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,8.7,2.2,4.2,0.3,1.2,1.8,3,0.556,0.2,0.4,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8,23.4,0.56,0.278,0.093,14.1,31.6,22.5,6.3,0.9,8,6.6,22.7,0.2,0.2,0.4,0.166,2,0.3,2.3,0.1,102.1,5697600
